tripinfo_arrival,tripinfo_arrivalLane,tripinfo_arrivalPos,tripinfo_arrivalSpeed,tripinfo_depart,tripinfo_departDelay,tripinfo_departLane,tripinfo_departPos,tripinfo_departSpeed,tripinfo_devices,tripinfo_duration,tripinfo_id,tripinfo_rerouteNo,tripinfo_routeLength,tripinfo_speedFactor,tripinfo_stopTime,tripinfo_timeLoss,tripinfo_vType,tripinfo_vaporized,tripinfo_waitingCount,tripinfo_waitingTime
149.00,45429543#4_0,75.60,6.19,16.00,0.00,567060342#0_0,5.10,0.00,tripinfo_16 fcd_16,133.00,16,0,608.19,0.88,0.00,56.62,DEFAULT_VEHTYPE,,2,40.00
150.00,337277981#1_1,45.91,8.77,84.00,0.00,337277951#4_0,5.10,0.00,tripinfo_84 fcd_84,66.00,84,0,191.83,1.15,0.00,45.07,DEFAULT_VEHTYPE,,1,29.00
154.00,337277977#0_0,104.44,8.09,6.00,0.00,40668087#4_0,5.10,0.00,tripinfo_6 fcd_6,148.00,6,0,642.56,1.05,0.00,78.74,DEFAULT_VEHTYPE,,3,56.00
157.00,337277977#0_0,104.44,6.97,101.00,0.00,492471759#4_0,5.10,0.00,tripinfo_101 fcd_101,56.00,101,0,422.82,0.96,0.00,8.44,DEFAULT_VEHTYPE,,0,0.00
158.00,337277984#2_0,62.31,10.60,41.00,0.00,337277970#1_0,5.10,0.00,tripinfo_41 fcd_41,117.00,41,0,462.53,0.96,0.00,63.63,DEFAULT_VEHTYPE,,2,50.00
159.00,337277981#2_1,15.40,6.56,5.00,0.00,337277957#0_0,5.10,0.00,tripinfo_5 fcd_5,154.00,5,0,702.60,0.83,0.00,50.07,DEFAULT_VEHTYPE,,2,28.00
159.00,542428844#1_0,40.22,7.10,25.00,0.00,567060339#1_0,5.10,0.00,tripinfo_25 fcd_25,134.00,25,0,412.81,0.87,0.00,76.29,DEFAULT_VEHTYPE,,3,59.00
170.00,337277977#1_0,133.65,7.78,27.00,0.00,42141326#9_0,5.10,0.00,tripinfo_27 fcd_27,143.00,27,0,597.60,0.95,0.00,78.07,DEFAULT_VEHTYPE,,2,60.00
173.00,337277984#6_0,117.79,9.91,18.00,0.00,40668087#3_0,5.10,0.00,tripinfo_18 fcd_18,155.00,18,0,777.78,0.94,0.00,68.54,DEFAULT_VEHTYPE,,2,51.00
178.00,337277957#4_0,112.04,8.52,3.00,0.00,553352498#0_0,5.10,0.00,tripinfo_3 fcd_3,175.00,3,0,1008.32,1.08,0.00,61.82,DEFAULT_VEHTYPE,,1,43.00
185.00,337277984#6_0,117.79,10.18,74.00,0.00,42141326#11_0,5.10,0.00,tripinfo_74 fcd_74,111.00,74,0,779.86,0.96,0.00,33.49,DEFAULT_VEHTYPE,,1,13.00
185.00,337277981#2_1,15.40,7.74,133.00,0.00,553352498#3_0,5.10,0.00,tripinfo_133 fcd_133,52.00,133,0,391.37,1.04,0.00,6.38,DEFAULT_VEHTYPE,,0,0.00
190.00,337277984#7_0,111.15,8.83,66.00,0.00,49217108#2_0,5.10,0.00,tripinfo_66 fcd_66,124.00,66,0,883.42,0.91,0.00,25.24,DEFAULT_VEHTYPE,,1,9.00
190.00,337277984#8_0,158.41,10.67,82.00,0.00,42141326#4_0,5.10,0.00,tripinfo_82 fcd_82,108.00,82,0,1051.09,1.02,0.00,9.94,DEFAULT_VEHTYPE,,0,0.00
191.00,492471759#3_0,93.67,7.70,44.00,0.00,42141326#5_0,5.10,0.00,tripinfo_44 fcd_44,147.00,44,0,651.74,1.04,0.00,77.20,DEFAULT_VEHTYPE,,3,49.00
191.00,337277984#6_0,117.79,9.42,51.00,1.00,42141326#11_0,5.10,0.00,tripinfo_50 fcd_50,140.00,50,0,779.86,0.85,0.00,53.01,DEFAULT_VEHTYPE,,2,31.00
192.00,337277984#2_1,62.31,10.28,1.00,0.00,40668087#0_0,5.10,0.00,tripinfo_1 fcd_1,191.00,1,0,736.26,0.94,0.00,97.76,DEFAULT_VEHTYPE,,3,73.00
193.00,337277984#4_0,105.67,10.12,106.00,0.00,42141326#8_0,5.10,0.00,tripinfo_106 fcd_106,87.00,106,0,322.75,1.01,0.00,53.74,DEFAULT_VEHTYPE,,1,45.00
194.00,337277984#0_0,50.00,12.06,116.00,0.00,42141326#11_0,5.10,0.00,tripinfo_116 fcd_116,78.00,116,0,263.89,1.18,0.00,53.98,DEFAULT_VEHTYPE,,1,41.00
195.00,492471412#1_0,70.33,8.04,60.00,0.00,42143912#3_0,5.10,0.00,tripinfo_60 fcd_60,135.00,60,0,652.22,1.08,0.00,67.93,DEFAULT_VEHTYPE,,3,43.00
195.00,542428844#1_0,40.22,7.61,76.00,0.00,492471759#5_0,5.10,0.00,tripinfo_76 fcd_76,119.00,76,0,527.17,1.03,0.00,60.16,DEFAULT_VEHTYPE,,3,27.00
198.00,40668087#6_0,8.81,7.77,96.00,0.00,40668087#2_0,5.10,0.00,tripinfo_96 fcd_96,102.00,96,0,439.31,1.01,0.00,49.66,DEFAULT_VEHTYPE,,2,29.00
205.00,42141326#12_0,91.65,7.80,20.00,0.00,553352498#1_0,5.10,0.00,tripinfo_20 fcd_20,185.00,20,0,978.81,1.02,0.00,78.33,DEFAULT_VEHTYPE,,2,58.00
206.00,542428844#2_0,56.00,9.31,28.00,0.00,553352498#1_0,5.10,0.00,tripinfo_28 fcd_28,178.00,28,0,874.63,1.13,0.00,84.18,DEFAULT_VEHTYPE,,2,61.00
210.00,567060339#3_1,100.84,6.56,8.00,0.00,42143912#2_0,5.10,0.00,tripinfo_8 fcd_8,202.00,8,0,582.74,0.94,0.00,126.28,DEFAULT_VEHTYPE,,4,102.00
211.00,42141326#12_0,91.65,7.31,128.00,0.00,337277973#1_0,5.10,0.00,tripinfo_128 fcd_128,83.00,128,0,513.73,1.12,0.00,36.04,DEFAULT_VEHTYPE,,2,15.00
211.00,567060339#3_0,100.84,9.34,143.00,0.00,337277970#1_0,5.10,0.00,tripinfo_143 fcd_143,68.00,143,0,298.71,1.13,0.00,35.73,DEFAULT_VEHTYPE,,1,16.00
211.00,45429543#2_0,100.54,7.48,149.00,0.00,42141326#4_0,5.10,0.00,tripinfo_149 fcd_149,62.00,149,0,433.22,1.04,0.00,20.71,DEFAULT_VEHTYPE,,1,8.00
212.00,542428844#1_0,40.22,7.04,85.00,0.00,40668087#4_0,5.10,0.00,tripinfo_85 fcd_85,127.00,85,0,372.40,0.98,0.00,80.31,DEFAULT_VEHTYPE,,2,60.00
213.00,337277957#6_0,116.59,7.91,88.00,0.00,553352498#2_0,5.10,0.00,tripinfo_88 fcd_88,125.00,88,0,890.94,1.01,0.00,18.08,DEFAULT_VEHTYPE,,1,3.00
214.00,337277984#0_0,50.00,11.92,13.00,0.00,42141326#0_0,5.10,0.00,tripinfo_13 fcd_13,201.00,13,0,1017.77,1.12,0.00,115.37,DEFAULT_VEHTYPE,,3,83.00
214.00,42141326#11_1,100.80,9.16,49.00,0.00,337277984#2_0,5.10,0.00,tripinfo_49 fcd_49,165.00,49,0,637.77,0.85,0.00,79.63,DEFAULT_VEHTYPE,,2,61.00
215.00,337277984#5_0,114.84,11.23,112.00,0.00,42141326#5_0,5.10,0.00,tripinfo_112 fcd_112,103.00,112,0,560.34,1.10,0.00,53.02,DEFAULT_VEHTYPE,,1,44.00
216.00,337277957#3_1,112.97,7.43,55.00,0.00,42141326#10_0,5.10,0.00,tripinfo_55 fcd_55,161.00,55,0,867.84,1.00,0.00,61.26,DEFAULT_VEHTYPE,,2,28.00
220.00,542428845#0_0,99.31,7.90,78.00,0.00,492471759#3_0,5.10,0.00,tripinfo_78 fcd_78,142.00,78,0,634.56,1.01,0.00,68.43,DEFAULT_VEHTYPE,,2,39.00
