tripinfo_arrival,tripinfo_arrivalLane,tripinfo_arrivalPos,tripinfo_arrivalSpeed,tripinfo_depart,tripinfo_departDelay,tripinfo_departLane,tripinfo_departPos,tripinfo_departSpeed,tripinfo_devices,tripinfo_duration,tripinfo_id,tripinfo_rerouteNo,tripinfo_routeLength,tripinfo_speedFactor,tripinfo_stopTime,tripinfo_timeLoss,tripinfo_vType,tripinfo_vaporized,tripinfo_waitingCount,tripinfo_waitingTime
299.00,337277984#7_0,111.15,9.72,97.00,0.00,42141326#10_0,5.10,0.00,tripinfo_97 fcd_97,202.00,97,0,1003.12,0.91,0.00,98.13,DEFAULT_VEHTYPE,,3,56.00
299.00,42141326#14_0,110.62,10.12,185.00,0.00,553352498#2_0,5.10,0.00,tripinfo_185 fcd_185,114.00,185,0,664.00,0.92,0.00,32.95,DEFAULT_VEHTYPE,,2,16.00
300.00,567060339#3_0,100.84,7.00,56.00,0.00,42141326#0_0,5.10,0.00,tripinfo_56 fcd_56,244.00,56,0,1385.48,0.90,0.00,85.85,DEFAULT_VEHTYPE,,2,42.00
300.00,492471759#5_0,37.25,8.72,145.00,0.00,40668087#0_0,5.10,0.00,tripinfo_145 fcd_145,155.00,145,0,780.96,1.14,0.00,72.26,DEFAULT_VEHTYPE,,2,43.00
300.00,337277984#6_0,117.79,9.90,153.00,0.00,49217110#1_0,5.10,0.00,tripinfo_153 fcd_153,147.00,153,0,992.08,0.93,0.00,36.81,DEFAULT_VEHTYPE,,1,11.00
301.00,337277984#2_0,62.31,7.56,165.00,0.00,337277984#3_0,5.10,0.00,tripinfo_165 fcd_165,136.00,165,0,411.65,0.91,0.00,82.97,DEFAULT_VEHTYPE,,3,55.00
305.00,337277984#7_1,111.15,10.78,100.00,5.00,49217121_0,5.10,0.00,tripinfo_95 fcd_95,205.00,95,0,1095.78,1.06,0.00,99.03,DEFAULT_VEHTYPE,,4,59.00
306.00,337277957#3_0,112.97,8.29,42.00,0.00,542428845#0_0,5.10,0.00,tripinfo_42 fcd_42,264.00,42,0,870.14,1.09,0.00,167.47,DEFAULT_VEHTYPE,,6,127.00
309.00,337277957#3_0,112.97,7.06,103.00,0.00,542428845#0_0,5.10,0.00,tripinfo_103 fcd_103,206.00,103,0,870.14,0.95,0.00,95.27,DEFAULT_VEHTYPE,,4,58.00
311.00,337277984#4_0,105.67,9.66,235.00,0.00,42141326#5_0,5.10,0.00,tripinfo_235 fcd_235,76.00,235,0,445.22,0.96,0.00,29.59,DEFAULT_VEHTYPE,,2,13.00
312.00,337277977#1_0,133.65,7.36,191.00,0.00,553352498#1_0,5.10,0.00,tripinfo_191 fcd_191,121.00,191,0,805.46,0.93,0.00,16.13,DEFAULT_VEHTYPE,,1,1.00
313.00,337277984#7_0,111.15,11.11,179.00,0.00,45429543#1_0,5.10,0.00,tripinfo_179 fcd_179,134.00,179,0,676.06,1.06,0.00,70.05,DEFAULT_VEHTYPE,,2,57.00
313.00,492471412#1_0,70.33,7.39,248.00,3.00,40668087#2_0,5.10,0.00,tripinfo_245 fcd_245,65.00,245,0,443.31,1.01,0.00,11.89,DEFAULT_VEHTYPE,,0,0.00
316.00,337277984#8_1,158.41,11.98,176.00,0.00,567060342#0_0,5.10,0.00,tripinfo_176 fcd_176,140.00,176,0,1040.80,1.09,0.00,47.88,DEFAULT_VEHTYPE,,1,35.00
316.00,337277984#8_0,158.41,9.66,276.00,3.00,337277984#6_0,5.10,0.00,tripinfo_273 fcd_273,40.00,273,0,382.84,0.98,0.00,4.85,DEFAULT_VEHTYPE,,0,0.00
318.00,542429228_0,102.32,5.21,75.00,0.00,40668087#2_0,5.10,0.00,tripinfo_75 fcd_75,243.00,75,0,773.29,0.98,0.00,141.10,DEFAULT_VEHTYPE,,4,97.00
320.00,337277973#1_0,74.82,5.25,30.00,0.00,45429543#2_0,5.10,0.00,tripinfo_30 fcd_30,290.00,30,0,716.68,1.18,0.00,216.11,DEFAULT_VEHTYPE,,8,166.00
321.00,492471759#7_0,180.68,8.70,61.00,0.00,42143912#0_0,5.10,0.00,tripinfo_61 fcd_61,260.00,61,0,895.13,1.12,0.00,166.14,DEFAULT_VEHTYPE,,4,137.00
321.00,45429543#3_0,92.23,8.35,79.00,0.00,42141326#10_0,5.10,0.00,tripinfo_79 fcd_79,242.00,79,0,642.62,1.09,0.00,181.34,DEFAULT_VEHTYPE,,5,126.00
321.00,42141326#12_1,91.65,8.62,99.00,0.00,49217108#0_0,5.10,0.00,tripinfo_99 fcd_99,222.00,99,0,739.82,1.10,0.00,145.79,DEFAULT_VEHTYPE,,5,95.00
325.00,337277984#8_0,158.41,8.94,91.00,0.00,49217123_0,5.10,0.00,tripinfo_91 fcd_91,234.00,91,0,1374.57,0.89,0.00,76.65,DEFAULT_VEHTYPE,,3,45.00
325.00,40668087#4_0,102.90,7.90,129.00,0.00,492471759#1_0,5.10,0.00,tripinfo_129 fcd_129,196.00,129,0,522.47,1.01,0.00,135.30,DEFAULT_VEHTYPE,,4,100.00
327.00,49217108#2_0,87.62,6.68,62.00,0.00,45429543#1_0,5.10,0.00,tripinfo_62 fcd_62,265.00,62,0,753.86,1.02,0.00,181.62,DEFAULT_VEHTYPE,,5,135.00
327.00,337277984#2_0,62.31,10.10,174.00,0.00,492471759#4_0,5.10,0.00,tripinfo_174 fcd_174,153.00,174,0,501.71,0.96,0.00,97.29,DEFAULT_VEHTYPE,,2,64.00
328.00,337277984#4_0,105.67,10.12,148.00,0.00,553352498#0_0,5.10,0.00,tripinfo_148 fcd_148,180.00,148,0,1120.80,0.97,0.00,51.51,DEFAULT_VEHTYPE,,1,35.00
329.00,42141326#13_0,106.40,9.23,158.00,0.00,45429543#1_0,5.10,0.00,tripinfo_158 fcd_158,171.00,158,0,544.61,0.91,0.00,113.25,DEFAULT_VEHTYPE,,3,93.00
329.00,42141326#12_1,91.65,10.62,278.00,0.00,42143912#0_0,5.10,0.00,tripinfo_278 fcd_278,51.00,278,0,357.48,0.99,0.00,9.72,DEFAULT_VEHTYPE,,0,0.00
330.00,337277977#0_0,104.44,8.17,53.00,0.00,542428845#0_0,5.10,0.00,tripinfo_53 fcd_53,277.00,53,0,862.10,1.10,0.00,186.58,DEFAULT_VEHTYPE,,6,134.00
331.00,42141326#13_1,106.40,9.41,149.00,3.00,42143912#3_0,5.10,0.00,tripinfo_146 fcd_146,182.00,146,0,648.88,0.89,0.00,107.77,DEFAULT_VEHTYPE,,3,80.00
332.00,49217108#2_0,87.62,6.76,139.00,0.00,40668087#3_0,5.10,0.00,tripinfo_139 fcd_139,193.00,139,0,533.79,0.95,0.00,124.76,DEFAULT_VEHTYPE,,4,98.00
332.00,49217109#2_0,102.91,4.82,184.00,0.00,49217110#0_0,5.10,0.00,tripinfo_184 fcd_184,148.00,184,0,662.85,0.94,0.00,55.23,DEFAULT_VEHTYPE,,1,38.00
333.00,337277957#5_1,116.07,7.47,81.00,0.00,492471759#3_0,5.10,0.00,tripinfo_81 fcd_81,252.00,81,0,1198.04,1.00,0.00,109.80,DEFAULT_VEHTYPE,,4,69.00
336.00,492471759#4_0,55.40,7.38,110.00,0.00,42141326#4_0,5.10,0.00,tripinfo_110 fcd_110,226.00,110,0,833.29,0.93,0.00,137.17,DEFAULT_VEHTYPE,,5,97.00
336.00,492471758_0,104.53,5.18,121.00,0.00,40668087#5_0,5.10,0.00,tripinfo_121 fcd_121,215.00,121,0,545.18,1.10,0.00,142.91,DEFAULT_VEHTYPE,,3,103.00
336.00,492471759#7_0,180.68,7.99,130.00,0.00,492471414_0,5.10,0.00,tripinfo_130 fcd_130,206.00,130,0,734.84,1.03,0.00,120.29,DEFAULT_VEHTYPE,,4,79.00
336.00,337277984#4_0,105.67,9.65,270.00,0.00,492471759#3_0,5.10,0.00,tripinfo_270 fcd_270,66.00,270,0,316.38,0.97,0.00,32.52,DEFAULT_VEHTYPE,,3,10.00
337.00,337277957#2_0,107.70,6.32,276.00,0.00,553352498#3_0,5.10,0.00,tripinfo_276 fcd_276,61.00,276,0,320.58,0.87,0.00,15.87,DEFAULT_VEHTYPE,,1,6.00
338.00,337277977#1_0,133.65,8.48,89.00,0.00,567060339#1_0,5.10,0.00,tripinfo_89 fcd_89,249.00,89,0,847.19,1.02,0.00,148.20,DEFAULT_VEHTYPE,,4,120.00
341.00,492471759#7_0,180.68,7.54,148.00,1.00,40668087#0_0,5.10,0.00,tripinfo_147 fcd_147,193.00,147,0,1081.82,1.00,0.00,62.87,DEFAULT_VEHTYPE,,2,36.00
344.00,492471758_0,104.53,4.64,137.00,0.00,49217110#1_0,5.10,0.00,tripinfo_137 fcd_137,207.00,137,0,539.64,1.02,0.00,129.15,DEFAULT_VEHTYPE,,4,98.00
344.00,337277984#8_0,158.41,9.03,172.00,0.00,45429543#0_0,5.10,0.00,tripinfo_172 fcd_172,172.00,172,0,1054.30,0.89,0.00,50.01,DEFAULT_VEHTYPE,,2,31.00
346.00,337277984#5_0,114.84,8.69,188.00,1.00,40668087#3_0,5.10,0.00,tripinfo_187 fcd_187,158.00,187,0,659.89,0.89,0.00,79.36,DEFAULT_VEHTYPE,,3,51.00
347.00,337277957#6_0,116.59,8.18,175.00,7.00,49217110#1_0,5.10,0.00,tripinfo_168 fcd_168,172.00,168,0,899.74,0.98,0.00,61.89,DEFAULT_VEHTYPE,,2,40.00
347.00,337277984#8_1,158.41,11.50,213.00,0.00,42141326#4_0,5.10,0.00,tripinfo_213 fcd_213,134.00,213,0,1051.09,1.10,0.00,43.73,DEFAULT_VEHTYPE,,2,22.00
347.00,337277957#3_0,112.97,7.05,279.00,0.00,567060339#0_0,5.10,0.00,tripinfo_279 fcd_279,68.00,279,0,318.20,0.97,0.00,27.56,DEFAULT_VEHTYPE,,1,20.00
348.00,337277984#8_0,158.41,10.95,196.00,0.00,42141326#3_0,5.10,0.00,tripinfo_196 fcd_196,152.00,196,0,1059.65,1.03,0.00,54.91,DEFAULT_VEHTYPE,,1,40.00
348.00,542428844#1_0,40.22,6.87,250.00,0.00,567060339#1_0,5.10,0.00,tripinfo_250 fcd_250,98.00,250,0,412.81,0.93,0.00,44.09,DEFAULT_VEHTYPE,,1,29.00
349.00,337277957#6_0,116.59,8.31,173.00,0.00,567060342#1_0,5.10,0.00,tripinfo_173 fcd_173,176.00,173,0,1049.96,1.14,0.00,64.58,DEFAULT_VEHTYPE,,1,40.00
349.00,45429543#4_0,75.60,8.21,192.00,0.00,45429543#1_0,5.10,0.00,tripinfo_192 fcd_192,157.00,192,0,410.37,1.10,0.00,111.52,DEFAULT_VEHTYPE,,4,82.00
350.00,337277984#1_0,43.81,9.31,343.00,0.00,337277984#1_0,5.10,0.00,tripinfo_343 fcd_343,7.00,343,0,38.71,0.95,0.00,2.88,DEFAULT_VEHTYPE,,0,0.00
351.00,337277984#8_0,158.41,13.80,226.00,0.00,42141326#0_0,5.10,0.00,tripinfo_226 fcd_226,125.00,226,0,1353.34,1.24,0.00,23.28,DEFAULT_VEHTYPE,,1,2.00
353.00,45429543#3_0,92.23,7.71,142.00,0.00,49217110#0_0,5.10,0.00,tripinfo_142 fcd_142,211.00,142,0,857.48,0.94,0.00,107.08,DEFAULT_VEHTYPE,,3,59.00
355.00,40668087#4_0,102.90,6.97,207.00,0.00,45429543#0_0,5.10,0.00,tripinfo_207 fcd_207,148.00,207,0,655.19,0.97,0.00,66.67,DEFAULT_VEHTYPE,,3,41.00
356.00,542429228_0,102.32,4.39,124.00,7.00,42141326#11_0,5.10,0.00,tripinfo_117 fcd_117,232.00,117,0,651.74,1.00,0.00,149.47,DEFAULT_VEHTYPE,,5,107.00
360.00,337277984#6_1,117.79,10.25,190.00,1.00,49217108#2_0,5.10,0.00,tripinfo_189 fcd_189,170.00,189,0,771.98,0.97,0.00,87.55,DEFAULT_VEHTYPE,,4,58.00
365.00,337277984#6_1,117.79,11.78,161.00,2.00,49217110#1_0,5.10,0.00,tripinfo_159 fcd_159,204.00,159,0,992.08,1.14,0.00,114.27,DEFAULT_VEHTYPE,,3,85.00
369.00,492471412#1_0,70.33,5.76,259.00,0.00,49217108#2_0,5.10,0.00,tripinfo_259 fcd_259,110.00,259,0,325.09,0.84,0.00,54.84,DEFAULT_VEHTYPE,,1,42.00
372.00,492471759#2_0,68.11,8.01,131.00,0.00,49217102_0,5.10,0.00,tripinfo_131 fcd_131,241.00,131,0,735.53,1.07,0.00,156.49,DEFAULT_VEHTYPE,,5,118.00
374.00,337277984#5_0,114.84,11.01,90.00,0.00,567060339#0_0,5.10,0.00,tripinfo_90 fcd_90,284.00,90,0,1083.43,1.02,0.00,168.52,DEFAULT_VEHTYPE,,5,119.00
374.00,492471758_0,104.53,5.30,227.00,0.00,49217121_0,5.10,0.00,tripinfo_227 fcd_227,147.00,227,0,534.91,1.11,0.00,76.60,DEFAULT_VEHTYPE,,2,44.00
374.00,337277951#5_0,4.11,8.47,299.00,0.00,49217102_0,5.10,0.00,tripinfo_299 fcd_299,75.00,299,0,203.31,1.16,0.00,53.71,DEFAULT_VEHTYPE,,1,47.00
375.00,40668087#5_0,84.58,8.67,142.00,2.00,553352498#3_0,5.10,0.00,tripinfo_140 fcd_140,233.00,140,0,850.06,1.11,0.00,146.73,DEFAULT_VEHTYPE,,4,90.00
376.00,42143912#5_0,42.77,6.61,59.00,0.00,567060339#1_0,5.10,0.00,tripinfo_59 fcd_59,317.00,59,0,1018.69,0.97,0.00,195.19,DEFAULT_VEHTYPE,,6,145.00
376.00,1053072563_0,100.63,8.36,107.00,0.00,49217108#0_0,5.10,0.00,tripinfo_107 fcd_107,269.00,107,0,731.52,1.03,0.00,182.36,DEFAULT_VEHTYPE,,6,136.00
376.00,542429228_0,102.32,4.98,229.00,0.00,49217110#0_0,5.10,0.00,tripinfo_229 fcd_229,147.00,229,0,538.19,0.99,0.00,74.50,DEFAULT_VEHTYPE,,4,42.00
376.00,49217102_0,98.88,8.14,238.00,0.00,567060339#3_0,5.10,0.00,tripinfo_238 fcd_238,138.00,238,0,312.32,1.10,0.00,102.45,DEFAULT_VEHTYPE,,3,78.00
376.00,40668087#6_0,8.81,6.79,256.00,0.00,40668087#2_0,5.10,0.00,tripinfo_256 fcd_256,120.00,256,0,439.31,0.96,0.00,64.46,DEFAULT_VEHTYPE,,2,46.00
377.00,492471412#1_0,70.33,8.52,127.00,5.00,42141326#11_0,5.10,0.00,tripinfo_122 fcd_122,250.00,122,0,762.10,1.03,0.00,169.31,DEFAULT_VEHTYPE,,6,125.00
377.00,492471759#3_0,93.67,7.78,159.00,3.00,42141326#8_0,5.10,0.00,tripinfo_156 fcd_156,218.00,156,0,529.27,1.18,0.00,165.41,DEFAULT_VEHTYPE,,5,115.00
377.00,542428844#1_0,40.22,7.03,208.00,0.00,553352498#0_0,5.10,0.00,tripinfo_208 fcd_208,169.00,208,0,1045.07,0.96,0.00,37.65,DEFAULT_VEHTYPE,,1,15.00
378.00,337277984#8_0,158.41,10.86,113.00,0.00,40668087#0_0,5.10,0.00,tripinfo_113 fcd_113,265.00,113,0,1395.53,1.01,0.00,119.80,DEFAULT_VEHTYPE,,4,87.00
379.00,337277984#7_0,111.15,9.60,237.00,0.00,567060342#1_0,5.10,0.00,tripinfo_237 fcd_237,142.00,237,0,849.54,0.88,0.00,49.81,DEFAULT_VEHTYPE,,1,38.00
380.00,1053072563_0,100.63,7.00,120.00,0.00,42141326#1_0,5.10,0.00,tripinfo_120 fcd_120,260.00,120,0,1199.68,0.94,0.00,126.78,DEFAULT_VEHTYPE,,4,76.00
381.00,492471758_0,104.53,4.96,161.00,0.00,42143912#2_0,5.10,0.00,tripinfo_161 fcd_161,220.00,161,0,708.99,1.08,0.00,140.07,DEFAULT_VEHTYPE,,5,99.00
381.00,42141326#11_1,100.80,10.20,175.00,0.00,42143912#0_0,5.10,0.00,tripinfo_175 fcd_175,206.00,175,0,704.01,0.92,0.00,119.87,DEFAULT_VEHTYPE,,4,89.00
382.00,337277957#2_1,107.70,8.58,51.00,0.00,45429543#0_0,5.10,0.00,tripinfo_51 fcd_51,331.00,51,0,1090.47,1.17,0.00,223.24,DEFAULT_VEHTYPE,,5,164.00
382.00,49217109#2_0,102.91,5.61,340.00,0.00,567060339#1_0,5.10,0.00,tripinfo_340 fcd_340,42.00,340,0,272.65,1.11,0.00,5.74,DEFAULT_VEHTYPE,,0,0.00
384.00,492471759#3_0,93.67,7.66,209.00,0.00,40668087#0_0,5.10,0.00,tripinfo_209 fcd_209,175.00,209,0,664.56,0.98,0.00,92.90,DEFAULT_VEHTYPE,,3,57.00
384.00,337277957#3_0,112.97,7.98,291.00,0.00,553352498#1_0,5.10,0.00,tripinfo_291 fcd_291,93.00,291,0,660.15,0.97,0.00,9.64,DEFAULT_VEHTYPE,,0,0.00
385.00,492471759#6_0,105.55,5.36,152.00,8.00,542428845#0_0,5.10,0.00,tripinfo_144 fcd_144,233.00,144,0,656.12,0.73,0.00,125.10,DEFAULT_VEHTYPE,,6,84.00
386.00,42141326#11_1,100.80,11.09,258.00,0.00,337277973#1_0,5.10,0.00,tripinfo_258 fcd_258,128.00,258,0,411.06,1.01,0.00,84.33,DEFAULT_VEHTYPE,,2,65.00
387.00,42141326#11_0,100.80,10.35,180.00,0.00,49217110#1_0,5.10,0.00,tripinfo_180 fcd_180,207.00,180,0,750.25,1.10,0.00,130.14,DEFAULT_VEHTYPE,,4,93.00
387.00,492471759#6_0,105.55,8.91,210.00,0.00,42143912#0_0,5.10,0.00,tripinfo_210 fcd_210,177.00,210,0,714.18,1.10,0.00,101.29,DEFAULT_VEHTYPE,,3,65.00
387.00,42143912#3_0,44.90,8.62,236.00,0.00,45429543#0_0,5.10,0.00,tripinfo_236 fcd_236,151.00,236,0,597.39,1.04,0.00,86.98,DEFAULT_VEHTYPE,,2,60.00
387.00,337277957#5_0,116.07,6.62,335.00,0.00,337277957#3_0,5.10,0.00,tripinfo_335 fcd_335,52.00,335,0,336.56,0.89,0.00,6.04,DEFAULT_VEHTYPE,,0,0.00
387.00,42141326#5_0,109.63,9.62,352.00,0.00,42141326#1_0,5.10,0.00,tripinfo_352 fcd_352,35.00,352,0,329.09,0.97,0.00,4.16,DEFAULT_VEHTYPE,,0,0.00
388.00,337277984#6_0,117.79,10.55,86.00,0.00,567060339#1_0,5.10,0.00,tripinfo_86 fcd_86,302.00,86,0,1152.50,1.00,0.00,180.24,DEFAULT_VEHTYPE,,5,142.00
389.00,492471758_0,104.53,4.55,134.00,2.00,49217102_0,5.10,0.00,tripinfo_132 fcd_132,255.00,132,0,853.67,0.96,0.00,147.43,DEFAULT_VEHTYPE,,5,100.00
390.00,567060339#3_0,100.84,6.36,198.00,1.00,40668087#3_0,5.10,0.00,tripinfo_197 fcd_197,192.00,197,0,647.20,0.87,0.00,102.42,DEFAULT_VEHTYPE,,5,69.00
390.00,42141326#11_0,100.80,8.83,234.00,0.00,337277981#1_0,5.10,0.00,tripinfo_234 fcd_234,156.00,234,0,714.48,0.91,0.00,66.48,DEFAULT_VEHTYPE,,3,36.00
395.00,492471759#4_0,55.40,8.06,241.00,0.00,40668087#1_0,5.10,0.00,tripinfo_241 fcd_241,154.00,241,0,621.44,1.01,0.00,79.31,DEFAULT_VEHTYPE,,2,46.00
398.00,567060339#3_0,100.84,8.57,247.00,0.00,42143912#3_0,5.10,0.00,tripinfo_247 fcd_247,151.00,247,0,521.72,1.04,0.00,89.67,DEFAULT_VEHTYPE,,3,55.00
401.00,49217109#2_0,102.91,5.42,105.00,0.00,337277984#3_0,5.10,0.00,tripinfo_105 fcd_105,296.00,105,0,788.82,1.07,0.00,201.00,DEFAULT_VEHTYPE,,5,159.00
402.00,337277984#8_0,158.41,11.06,182.00,0.00,337277981#2_0,5.10,0.00,tripinfo_182 fcd_182,220.00,182,0,1175.56,1.03,0.00,106.26,DEFAULT_VEHTYPE,,3,85.00
402.00,492471759#8_0,8.40,8.09,194.00,0.00,49217108#2_0,5.10,0.00,tripinfo_194 fcd_194,208.00,194,0,737.11,1.00,0.00,118.35,DEFAULT_VEHTYPE,,4,86.00
402.00,567060339#3_0,100.84,7.01,281.00,16.00,42143912#5_0,5.10,0.00,tripinfo_265 fcd_265,121.00,265,0,465.55,0.96,0.00,62.13,DEFAULT_VEHTYPE,,2,35.00
403.00,337277957#3_0,112.97,7.00,93.00,0.00,42141326#0_0,5.10,0.00,tripinfo_93 fcd_93,310.00,93,0,1509.90,0.92,0.00,140.44,DEFAULT_VEHTYPE,,5,87.00
403.00,337277984#8_1,158.41,10.88,158.00,1.00,49217110#0_0,5.10,0.00,tripinfo_157 fcd_157,245.00,157,0,1376.69,1.08,0.00,114.34,DEFAULT_VEHTYPE,,3,76.00
406.00,492471759#6_0,105.55,8.07,217.00,0.00,49217108#0_0,5.10,0.00,tripinfo_217 fcd_217,189.00,217,0,647.32,1.07,0.00,115.43,DEFAULT_VEHTYPE,,5,61.00
410.00,567060339#3_1,100.84,6.77,251.00,0.00,49217121_0,5.10,0.00,tripinfo_251 fcd_251,159.00,251,0,422.02,0.88,0.00,99.88,DEFAULT_VEHTYPE,,2,77.00
413.00,337277984#2_0,62.31,11.71,136.00,0.00,45429543#0_0,5.10,0.00,tripinfo_136 fcd_136,277.00,136,0,838.45,1.12,0.00,196.43,DEFAULT_VEHTYPE,,5,143.00
413.00,42141326#14_0,110.62,11.02,281.00,0.00,49217110#0_0,5.10,0.00,tripinfo_281 fcd_281,132.00,281,0,774.54,1.08,0.00,51.83,DEFAULT_VEHTYPE,,1,40.00
414.00,337277984#1_1,43.81,9.46,295.00,0.00,45429543#0_0,5.10,0.00,tripinfo_295 fcd_295,119.00,295,0,764.81,0.96,0.00,32.37,DEFAULT_VEHTYPE,,1,7.00
415.00,337277957#4_1,112.04,8.14,186.00,0.00,42141326#8_0,5.10,0.00,tripinfo_186 fcd_186,229.00,186,0,1094.80,1.08,0.00,115.07,DEFAULT_VEHTYPE,,4,57.00
415.00,49217109#2_0,102.91,4.02,195.00,0.00,40668087#4_0,5.10,0.00,tripinfo_195 fcd_195,220.00,195,0,649.14,0.84,0.00,118.36,DEFAULT_VEHTYPE,,4,86.00
415.00,337277984#0_0,50.00,9.53,202.00,2.00,492471414_0,5.10,0.00,tripinfo_200 fcd_200,213.00,200,0,680.46,0.95,0.00,127.53,DEFAULT_VEHTYPE,,5,83.00
415.00,542428844#2_0,56.00,8.07,294.00,0.00,492471414_0,5.10,0.00,tripinfo_294 fcd_294,121.00,294,0,550.78,1.05,0.00,57.45,DEFAULT_VEHTYPE,,2,40.00
418.00,337277957#5_0,116.07,7.87,166.00,2.00,40668087#1_0,5.10,0.00,tripinfo_164 fcd_164,252.00,164,0,1235.02,1.05,0.00,110.40,DEFAULT_VEHTYPE,,4,75.00
418.00,337277957#4_0,112.04,8.31,195.00,2.00,42141326#8_0,5.10,0.00,tripinfo_193 fcd_193,223.00,193,0,1094.80,1.07,0.00,107.55,DEFAULT_VEHTYPE,,4,52.00
418.00,337277984#4_0,105.67,10.48,206.00,0.00,567060339#3_0,5.10,0.00,tripinfo_206 fcd_206,212.00,206,0,861.21,1.00,0.00,117.82,DEFAULT_VEHTYPE,,4,78.00
418.00,49217109#2_0,102.91,4.95,223.00,0.00,40668087#4_0,5.10,0.00,tripinfo_223 fcd_223,195.00,223,0,649.14,1.06,0.00,114.15,DEFAULT_VEHTYPE,,4,60.00
418.00,492471759#7_0,180.68,7.92,224.00,0.00,49217102_0,5.10,0.00,tripinfo_224 fcd_224,194.00,224,0,824.97,1.02,0.00,98.85,DEFAULT_VEHTYPE,,3,64.00
418.00,42141326#11_1,100.80,10.31,263.00,0.00,42141326#0_0,5.10,0.00,tripinfo_263 fcd_263,155.00,263,0,849.58,0.96,0.00,74.20,DEFAULT_VEHTYPE,,2,58.00
418.00,42141326#12_1,91.65,10.99,328.00,0.00,42143912#0_0,5.10,0.00,tripinfo_328 fcd_328,90.00,328,0,357.48,1.00,0.00,49.74,DEFAULT_VEHTYPE,,1,41.00
418.00,337277970#1_1,79.16,7.49,346.00,1.00,492471759#2_0,5.10,0.00,tripinfo_345 fcd_345,72.00,345,0,269.02,0.94,0.00,36.80,DEFAULT_VEHTYPE,,1,16.00
420.00,337277984#1_1,43.81,9.97,162.00,0.00,337277984#2_0,5.10,0.00,tripinfo_162 fcd_162,258.00,162,0,832.05,0.99,0.00,162.03,DEFAULT_VEHTYPE,,6,117.00
420.00,492471412#1_0,70.33,9.34,239.00,0.00,49217110#0_0,5.10,0.00,tripinfo_239 fcd_239,181.00,239,0,654.70,1.13,0.00,104.33,DEFAULT_VEHTYPE,,4,61.00
420.00,337277957#0_1,98.10,8.50,262.00,0.00,553352498#3_0,5.10,0.00,tripinfo_262 fcd_262,158.00,262,0,622.13,1.04,0.00,85.53,DEFAULT_VEHTYPE,,2,62.00
420.00,492471759#7_0,180.68,8.43,265.00,1.00,553352498#3_0,5.10,0.00,tripinfo_264 fcd_264,155.00,264,0,840.95,1.13,0.00,68.04,DEFAULT_VEHTYPE,,2,37.00
420.00,49217102_0,98.88,8.10,337.00,0.00,49217121_0,5.10,0.00,tripinfo_337 fcd_337,83.00,337,0,202.44,1.02,0.00,58.42,DEFAULT_VEHTYPE,,1,51.00
421.00,49217109#2_0,102.91,4.50,118.00,0.00,45429543#1_0,5.10,0.00,tripinfo_118 fcd_118,303.00,118,0,978.41,0.99,0.00,182.13,DEFAULT_VEHTYPE,,5,117.00
422.00,42141326#14_0,110.62,10.98,218.00,0.00,567060339#3_0,5.10,0.00,tripinfo_218 fcd_218,204.00,218,0,762.22,1.07,0.00,123.54,DEFAULT_VEHTYPE,,3,97.00
424.00,49217102_0,98.88,8.10,198.00,0.00,567060342#0_0,5.10,0.00,tripinfo_198 fcd_198,226.00,198,0,829.11,1.06,0.00,130.82,DEFAULT_VEHTYPE,,4,102.00
424.00,567060339#3_1,100.84,7.32,356.00,6.00,553352498#3_0,5.10,0.00,tripinfo_350 fcd_350,68.00,350,0,321.26,1.02,0.00,29.71,DEFAULT_VEHTYPE,,1,18.00
426.00,337277977#0_0,104.44,7.83,177.00,0.00,49217108#0_0,5.10,0.00,tripinfo_177 fcd_177,249.00,177,0,853.30,1.03,0.00,154.30,DEFAULT_VEHTYPE,,5,91.00
426.00,45429543#3_0,92.23,4.95,199.00,0.00,492471414_0,5.10,0.00,tripinfo_199 fcd_199,227.00,199,0,529.34,0.83,0.00,152.95,DEFAULT_VEHTYPE,,6,102.00
427.00,49217108#0_0,88.12,9.15,294.00,1.00,40668087#6_0,5.10,0.00,tripinfo_293 fcd_293,133.00,293,0,532.77,1.14,0.00,75.52,DEFAULT_VEHTYPE,,3,37.00
429.00,337277957#4_0,112.04,7.51,244.00,0.00,49217123_0,5.10,0.00,tripinfo_244 fcd_244,185.00,244,0,778.85,1.02,0.00,93.04,DEFAULT_VEHTYPE,,2,72.00
429.00,337277984#1_0,43.81,8.77,287.00,0.00,49217121_0,5.10,0.00,tripinfo_287 fcd_287,142.00,287,0,521.58,0.89,0.00,74.45,DEFAULT_VEHTYPE,,2,53.00
429.00,337277977#0_0,104.44,7.06,414.00,2.00,337277977#0_0,5.10,0.00,tripinfo_412 fcd_412,15.00,412,0,99.34,0.97,0.00,2.35,DEFAULT_VEHTYPE,,0,0.00
432.00,49217108#2_0,87.62,8.58,233.00,0.00,553352498#0_0,5.10,0.00,tripinfo_233 fcd_233,199.00,233,0,1090.49,1.15,0.00,84.38,DEFAULT_VEHTYPE,,3,65.00
435.00,337277957#6_0,116.59,8.79,128.00,3.00,42141326#4_0,5.10,0.00,tripinfo_125 fcd_125,307.00,125,0,1553.21,1.15,0.00,158.74,DEFAULT_VEHTYPE,,5,86.00
